<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150105,103000,1064.0000000,1064.0000000,1051.0000000,1051.0000000,74
20150105,110000,1055.0000000,1067.0000000,1055.0000000,1067.0000000,457
20150105,113000,1066.0000000,1067.0000000,1065.0000000,1066.0000000,190
20150105,120000,1065.0000000,1067.0000000,1065.0000000,1067.0000000,39
20150105,123000,1065.0000000,1066.0000000,1065.0000000,1065.0000000,26
20150105,130000,1066.0000000,1071.0000000,1066.0000000,1071.0000000,34
20150105,133000,1071.0000000,1071.0000000,1070.0000000,1070.0000000,103
20150105,140000,1070.0000000,1078.0000000,1070.0000000,1078.0000000,7364
20150105,143000,1075.0000000,1075.0000000,1075.0000000,1075.0000000,9
20150105,150000,1075.0000000,1075.0000000,1075.0000000,1075.0000000,3
20150105,153000,1075.0000000,1080.0000000,1067.0000000,1067.0000000,196
20150105,160000,1068.0000000,1068.0000000,1068.0000000,1068.0000000,1
20150105,170000,1070.0000000,1070.0000000,1068.0000000,1069.0000000,42
20150105,173000,1071.0000000,1072.0000000,1071.0000000,1072.0000000,11
20150105,180000,1076.0000000,1076.0000000,1065.0000000,1065.0000000,186
20150105,183000,1067.0000000,1077.0000000,1067.0000000,1077.0000000,70
20150105,190000,1076.0000000,1079.0000000,1076.0000000,1079.0000000,29
20150106,103000,1069.0000000,1069.0000000,1069.0000000,1069.0000000,2
20150106,110000,1069.0000000,1069.0000000,1047.0000000,1060.0000000,852
20150106,120000,1065.0000000,1076.0000000,1065.0000000,1076.0000000,145
20150106,123000,1080.0000000,1080.0000000,1072.0000000,1072.0000000,6
20150106,133000,1070.0000000,1075.0000000,1070.0000000,1075.0000000,136
20150106,140000,1075.0000000,1075.0000000,1072.0000000,1072.0000000,5
20150106,143000,1075.0000000,1081.0000000,1070.0000000,1070.0000000,466
20150106,150000,1064.0000000,1064.0000000,1064.0000000,1064.0000000,1
20150106,160000,1063.0000000,1063.0000000,1063.0000000,1063.0000000,1
20150106,163000,1063.0000000,1075.0000000,1063.0000000,1075.0000000,204
20150106,170000,1075.0000000,1081.0000000,1075.0000000,1081.0000000,2
20150106,173000,1071.0000000,1080.0000000,1071.0000000,1080.0000000,12
20150106,180000,1080.0000000,1107.0000000,1066.0000000,1105.0000000,1573
20150106,183000,1100.0000000,1116.0000000,1097.0000000,1105.0000000,555
20150106,190000,1105.0000000,1113.0000000,1092.0000000,1092.0000000,44
20150108,103000,1084.0000000,1085.0000000,1074.0000000,1084.0000000,153
20150108,110000,1084.0000000,1084.0000000,1075.0000000,1075.0000000,163
20150108,113000,1080.0000000,1084.0000000,1080.0000000,1084.0000000,161
20150108,120000,1084.0000000,1084.0000000,1080.0000000,1080.0000000,164
20150108,123000,1080.0000000,1080.0000000,1076.0000000,1076.0000000,77
20150108,130000,1081.0000000,1081.0000000,1070.0000000,1070.0000000,709
20150108,133000,1070.0000000,1070.0000000,1069.0000000,1069.0000000,142
20150108,140000,1070.0000000,1082.0000000,1070.0000000,1082.0000000,774
20150108,143000,1081.0000000,1081.0000000,1079.0000000,1079.0000000,3
20150108,150000,1080.0000000,1080.0000000,1079.0000000,1079.0000000,34
20150108,153000,1078.0000000,1079.0000000,1071.0000000,1075.0000000,332
20150108,163000,1081.0000000,1097.0000000,1081.0000000,1095.0000000,799
20150108,170000,1096.0000000,1096.0000000,1087.0000000,1087.0000000,17
20150108,173000,1091.0000000,1099.0000000,1084.0000000,1092.0000000,491
20150108,180000,1088.0000000,1117.0000000,1083.0000000,1117.0000000,1495
20150108,183000,1106.0000000,1106.0000000,1101.0000000,1101.0000000,50
20150108,190000,1094.0000000,1094.0000000,1094.0000000,1094.0000000,396
20150109,103000,1101.0000000,1109.0000000,1101.0000000,1104.0000000,107
20150109,110000,1104.0000000,1105.0000000,1100.0000000,1103.0000000,349
20150109,113000,1102.0000000,1106.0000000,1102.0000000,1106.0000000,337
20150109,123000,1105.0000000,1107.0000000,1105.0000000,1105.0000000,61
20150109,130000,1107.0000000,1107.0000000,1105.0000000,1105.0000000,9
20150109,133000,1107.0000000,1109.0000000,1105.0000000,1105.0000000,18
20150109,140000,1105.0000000,1105.0000000,1105.0000000,1105.0000000,83
20150109,143000,1109.0000000,1109.0000000,1109.0000000,1109.0000000,1
20150109,153000,1108.0000000,1108.0000000,1105.0000000,1105.0000000,7
20150109,160000,1108.0000000,1110.0000000,1108.0000000,1110.0000000,29
20150109,163000,1106.0000000,1110.0000000,1106.0000000,1108.0000000,7
20150109,170000,1108.0000000,1110.0000000,1108.0000000,1110.0000000,38
20150109,173000,1105.0000000,1105.0000000,1105.0000000,1105.0000000,37
20150109,180000,1105.0000000,1116.0000000,1030.0000000,1098.0000000,1435
20150109,183000,1096.0000000,1099.0000000,1077.0000000,1098.0000000,127
20150109,190000,1097.0000000,1099.0000000,1073.0000000,1098.0000000,419
20150112,103000,1100.0000000,1119.0000000,1093.0000000,1118.0000000,229
20150112,110000,1114.0000000,1118.0000000,1111.0000000,1115.0000000,425
20150112,113000,1115.0000000,1117.0000000,1115.0000000,1117.0000000,369
20150112,120000,1118.0000000,1123.0000000,1113.0000000,1120.0000000,1300
20150112,123000,1122.0000000,1123.0000000,1114.0000000,1123.0000000,1575
20150112,130000,1120.0000000,1120.0000000,1114.0000000,1119.0000000,105
20150112,133000,1114.0000000,1114.0000000,1113.0000000,1113.0000000,170
20150112,140000,1115.0000000,1119.0000000,1114.0000000,1114.0000000,21
20150112,143000,1119.0000000,1119.0000000,1119.0000000,1119.0000000,5
20150112,150000,1114.0000000,1118.0000000,1107.0000000,1112.0000000,332
20150112,153000,1111.0000000,1116.0000000,1105.0000000,1114.0000000,54
20150112,160000,1112.0000000,1115.0000000,1107.0000000,1115.0000000,186
20150112,163000,1115.0000000,1115.0000000,1111.0000000,1115.0000000,566
20150112,170000,1107.0000000,1115.0000000,1105.0000000,1115.0000000,253
20150112,173000,1115.0000000,1118.0000000,1115.0000000,1118.0000000,93
20150112,180000,1117.0000000,1129.0000000,1101.0000000,1101.0000000,1574
20150112,183000,1103.0000000,1105.0000000,1101.0000000,1102.0000000,252
20150112,190000,1108.0000000,1113.0000000,1108.0000000,1113.0000000,2
20150113,103000,1115.0000000,1122.0000000,1115.0000000,1120.0000000,238
20150113,110000,1121.0000000,1121.0000000,1118.0000000,1118.0000000,27
20150113,113000,1118.0000000,1122.0000000,1117.0000000,1117.0000000,89
20150113,120000,1117.0000000,1120.0000000,1117.0000000,1120.0000000,159
20150113,123000,1122.0000000,1129.0000000,1122.0000000,1129.0000000,685
20150113,130000,1129.0000000,1129.0000000,1129.0000000,1129.0000000,12
20150113,133000,1126.0000000,1127.0000000,1126.0000000,1127.0000000,45
20150113,140000,1128.0000000,1129.0000000,1127.0000000,1127.0000000,55
20150113,143000,1129.0000000,1129.0000000,1129.0000000,1129.0000000,7
20150113,150000,1129.0000000,1129.0000000,1129.0000000,1129.0000000,26
20150113,153000,1127.0000000,1127.0000000,1127.0000000,1127.0000000,1
20150113,160000,1129.0000000,1129.0000000,1125.0000000,1125.0000000,998
20150113,163000,1127.0000000,1127.0000000,1123.0000000,1127.0000000,2509
20150113,170000,1127.0000000,1127.0000000,1127.0000000,1127.0000000,6006
20150113,173000,1126.0000000,1135.0000000,1126.0000000,1135.0000000,3757
20150113,180000,1135.0000000,1149.0000000,1135.0000000,1148.0000000,17193
20150113,183000,1148.0000000,1155.0000000,1120.0000000,1153.0000000,40079
20150113,190000,1149.0000000,1153.0000000,1141.0000000,1153.0000000,269
20150114,103000,1150.0000000,1157.0000000,1148.0000000,1157.0000000,113
20150114,110000,1155.0000000,1155.0000000,1150.0000000,1150.0000000,520
20150114,113000,1151.0000000,1152.0000000,1149.0000000,1149.0000000,17
20150114,120000,1149.0000000,1149.0000000,1147.0000000,1149.0000000,944
20150114,123000,1149.0000000,1150.0000000,1147.0000000,1147.0000000,111
20150114,130000,1148.0000000,1149.0000000,1148.0000000,1149.0000000,364
20150114,133000,1149.0000000,1156.0000000,1149.0000000,1156.0000000,2347
20150114,140000,1155.0000000,1155.0000000,1155.0000000,1155.0000000,1
